Name,Breast Size,Waist Size,Band size,Cup Size
Dani Daniels,34,24,34,D
Stella Cox,31,23,32,D
Sofia A,36,24,36,D
Tessa fowler,31,27,32,H
Sabine janova,30,24,30,G
Mila Azul,38,23,42,D
Helga Lovekaty,35,24,34,D
Ava Adams,32,24,32,F
Sasha Grey,34,26,32,B
Mia Khalifa,40,26,34,E
lexi belle,32,24,32,C
Nadya Nabakova,34,24,32,B
Sunny Leone,38,24,34,DD
Priya Rai,34,24,34,D
Nadya Nabakova,34,24,32,B
Josephine Jackson,35,25,40,D
Sybil A,35,24,40,C
Eva Elfie,36,26,34,CC
Gabbie Carter,33,22,38,D
Alina Ali,33,24,38,D
Tru kait,31,25,36,D
Nancy Ace,33,24,38,C 
Tori Black,34,27,34,B
Riley Reid,33,25,32,A
Ava addams,32,24,32,DDD
Nicole Aniston,34,24,34,D
Natasha Nice,36,27,36,D
Angela White,42,28,32,G
Emily Willis,30,24,36,A
Gianna Dior,31,24,36,B
Adriana Chechik,32,24,32,B
Lena paul,32,25,34,DDD
Kendra Sunder,32,25,32,G